incident_id,incident_date,incident_title,incident_type,business_line,process,system,fraud_type,root_cause_category,gross_loss,recovery,net_loss,customer_count,regulatory_impact_flag,control_failure,detection_source,severity,owner,action_due_date,status,residual_risk,lessons_learned,data_layer,data_status,source_type,claim_boundary
INC-0001,2026-01-07,Model score delivered as 0-100,Model/control failure,Digital Payments,Fraud detection and response,Model scoring API,Multiple / control event,Data,42000,8000,34000,125,1,SCORE_SCALE_MISMATCH,KRI/incident simulation,Critical,Operational Risk,2026-02-06,Closed,Medium,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0002,2026-01-12,Velocity feature stopped refreshing,Data failure,Digital Payments,Fraud detection and response,Velocity service,Multiple / control event,Data,18500,2500,16000,48,0,VELOCITY_STALE,KRI/incident simulation,High,Fraud Operations,2026-03-13,Closed,Medium,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0003,2026-01-17,New-device rule alert spike,Process failure,Digital Payments,Fraud detection and response,Decision engine,Multiple / control event,Rule configuration,9200,0,9200,310,0,RULE_ALERT_SPIKE,KRI/incident simulation,High,Fraud Operations,2026-03-18,Open remediation,High,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0004,2026-01-22,Legitimate payroll transactions blocked,Customer-treatment failure,Digital Payments,Fraud detection and response,Payments rules,Multiple / control event,Rule configuration,15500,7200,8300,640,0,PAYROLL_FALSE_BLOCK,KRI/incident simulation,High,Fraud Operations,2026-03-23,Closed,Medium,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0005,2026-01-27,Device intelligence vendor outage,Third-party failure,Digital Payments,Fraud detection and response,Device vendor,Multiple / control event,Vendor,26500,4000,22500,820,0,DEVICE_VENDOR_OUTAGE,KRI/incident simulation,High,Fraud Operations,2026-03-28,Closed,Medium,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0006,2026-02-01,Duplicate transactions generated duplicate alerts,System failure,Digital Payments,Fraud detection and response,Alert gateway,Multiple / control event,System,7600,2500,5100,390,0,DUPLICATE_ALERTS,KRI/incident simulation,Medium,Fraud Operations,2026-04-02,Open remediation,Medium,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0007,2026-02-06,Investigator backlog delayed fraud action,Process failure,Digital Payments,Fraud detection and response,Case management,Multiple / control event,Capacity,33800,5000,28800,190,0,BACKLOG_DELAY,KRI/incident simulation,High,Fraud Operations,2026-04-07,Closed,Medium,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0008,2026-02-11,Override misuse bypassed high-risk block,Internal fraud,Digital Payments,Fraud detection and response,Decision override,Multiple / control event,Governance,68000,12000,56000,37,1,OVERRIDE_MISUSE,KRI/incident simulation,Critical,Operational Risk,2026-03-13,Closed,Medium,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0009,2026-02-16,OTP service outage,Third-party failure,Digital Payments,Fraud detection and response,Authentication,Multiple / control event,Vendor,21000,3500,17500,1400,0,OTP_OUTAGE,KRI/incident simulation,High,Fraud Operations,2026-04-17,Open remediation,High,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0010,2026-02-21,Alert queue unavailable,System failure,Digital Payments,Fraud detection and response,Case management,Multiple / control event,System,47000,6000,41000,480,1,QUEUE_OUTAGE,KRI/incident simulation,Critical,Operational Risk,2026-03-23,Closed,Medium,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
INC-0011,2026-02-26,Reason-code mapping failed,Process failure,Digital Payments,Fraud detection and response,Decision engine,Multiple / control event,Model,3800,0,3800,85,0,REASON_CODE_FAILURE,KRI/incident simulation,Medium,Fraud Operations,2026-04-27,Closed,Medium,"Strengthen preventive validation, fallback and evidence retention",Synthetic,Synthetic,Operational incident scenario generator,Simulated incident and loss data; not observed bank events
