field,required_status,source_column,expected_type,business_purpose,availability_status,phase0_decision,notes,data_layer,data_status,source_type,claim_boundary
transaction_id,Required,transaction_id,integer,Unique transaction key for reconciliation and duplicate checks,Available,LOCKED,Generated in Project 0 silver layer; duplicate count must be zero.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v1,Required,v1,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v2,Required,v2,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v3,Required,v3,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v4,Required,v4,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v5,Required,v5,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v6,Required,v6,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v7,Required,v7,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v8,Required,v8,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v9,Required,v9,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v10,Required,v10,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v11,Required,v11,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v12,Required,v12,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v13,Required,v13,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v14,Required,v14,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v15,Required,v15,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v16,Required,v16,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v17,Required,v17,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
